BA.1.1.9,"['BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9', 'BA.1.1.9']"
BA.1.10,"['BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10', 'BA.1.10']"
BA.1.12,"['BA.1.12', 'BA.1.12']"
BA.1.13,"['BA.1.13', 'BA.1.13', 'BA.1.13']"
BA.1.13.1,"['BA.1.13.1', 'BA.1.13.1', 'BA.1.13.1', 'BA.1.13.1', 'BA.1.13.1', 'BA.1.13.1']"
BA.1.14,"['BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14', 'BA.1.14']"
BA.1.14.1,"['BA.1.14.1', 'BA.1.14.1', 'BA.1.14.1', 'BA.1.14.1', 'BA.1.14.1', 'BA.1.14.1']"
BA.1.14.2,"['BA.1.14.2', 'BA.1.14.2', 'BA.1.14.2']"
BA.1.15,"['BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15', 'BA.1.15']"
BA.1.15.1,"['BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1', 'BA.1.15.1']"
